source,target,attributes
HKG::Q_146,HKG::FIN_A_1961,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_175,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_176,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_178,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_179,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_180,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_181,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_183,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::FIN_A_185,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::GST_109,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::GST_110,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::GST_111,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::GST_112,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::GST_113,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_146,HKG::COMP_242,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::provident_fund,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::leave,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::EPF_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::EPF_AT_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::CCS_ME_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::CCS_ME_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::RPSR_43,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_20,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_34,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_1,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::PENSION_NOM_8,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::FIN_A_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::FIN_A_146,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::FIN_A_15J,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::FIN_A_185,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_64,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_69,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_80,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_198,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_201,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_202,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_203,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_204,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_205,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_206,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_207,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_208,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_209,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_211,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_212,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_213,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_214,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_216,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_217,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_218,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_219,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_221,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_222,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_224,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_225,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_226,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_227,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_228,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_229,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_230,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_232,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_233,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_234,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_235,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_237,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_238,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_239,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_241,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_242,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_326,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_349,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_366,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_367,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_368,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_369,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_370,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_371,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MBA_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::FA_79,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::SPE_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MTW_24,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MTW_27,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MTW_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MTW_40,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::EC_RULES_15,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::EPF_AT_25,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::LIM_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::LIM_114,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::LIM_118,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::LIM_130,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::LIM_133,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::CCS_ME_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::CCS_ME_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::CCS_ME_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::CCS_FS_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::CCS_FS_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::RPSR_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::RPSR_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_9,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_11,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_22,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_25,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_30,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_33,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_40,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MEPS_42,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MHA_91,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::MHA_92,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_65,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_82,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_117,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_139,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_142,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_150,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_152,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_155,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_159,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_160,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_161,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_164,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::BTC_303,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::DSEA_22,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::DSEA_23,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::DSEA_49,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::DSEA_147,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::KSEA_1,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::KSEA_5C,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::KSEA_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::KSEA_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_147,HKG::KSEA_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::leave,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::labour_court,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::gratuity,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::dispute_resolution,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::retrenchment,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::strike,"{'type': 'RELATES_TO', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MBA_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FA_79,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::SPE_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MTW_24,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MTW_27,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MTW_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MTW_40,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EC_RULES_15,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_25,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::LIM_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::LIM_114,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::LIM_118,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::LIM_130,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::LIM_133,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::CCS_ME_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::CCS_ME_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::CCS_ME_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::CCS_ME_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::CCS_FS_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::CCS_FS_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::RPSR_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::RPSR_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::RPSR_43,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_9,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_11,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_22,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_25,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_30,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_33,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_34,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_40,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_42,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MHA_91,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MHA_92,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_64,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_65,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_82,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_117,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_139,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_142,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_150,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_152,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_155,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_159,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_160,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_161,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_164,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_303,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::BTC_349,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::DSEA_22,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::DSEA_23,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::DSEA_49,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::DSEA_147,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::KSEA_1,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::KSEA_5C,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::KSEA_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::KSEA_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::KSEA_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::PGA_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_7D,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::ESI_55,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_44,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_45,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_46,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_47,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_48,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_49,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_50,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::IRC_54,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::ID_CENTRAL_10,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::ID_CENTRAL_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::ID_CENTRAL_99,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_1,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_2,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_3,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_4,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_5,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_7,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_11,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_12,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_13,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_14,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_15,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_16,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_17,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_18,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_21,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_22,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_23,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_24,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_26,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_27,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_28,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::EPF_AT_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::ATA_19,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::RPSR_6,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_39,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::MEPS_43,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::DPDP_29,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::DPDP_30,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_50,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_51,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_129,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_146,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_148,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_1992,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_15J,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_158,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_159,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_1952,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_161,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_1999,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_162,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_163,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_1989,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_164,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_165,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_166,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_167,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_168,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_1997,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_169,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_170,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_171,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_172,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_173,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_1961,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_175,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_176,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_178,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_179,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_180,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_181,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
HKG::Q_148,HKG::FIN_A_183,"{'type': 'MATCHES', 'source_graph': 'HKG'}"
